YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 10 07  32  5.1  5.6 99.00 99.00 99.00 999 1017.3  23.8  23.9 999.0 99.0
98 01 10 08   6  5.1  5.6 99.00 99.00 99.00 999 1017.2  21.7  23.8 999.0 99.0
98 01 10 09  14  6.4  6.8 99.00 99.00 99.00 999 1017.4  21.4  23.7 999.0 99.0
98 01 10 10   7  6.4  6.7 99.00 99.00 99.00 999 1017.5  20.9  23.6 999.0 99.0
98 01 10 11  23  6.4  6.9 99.00 99.00 99.00 999 1017.7  20.4  23.6 999.0 99.0
98 01 10 12  10  8.1  8.9 99.00 99.00 99.00 999 1018.1  20.1  23.6 999.0 99.0
98 01 10 13  13  8.2  9.0 99.00 99.00 99.00 999 1018.7  20.1  23.6 999.0 99.0
98 01 10 14   4  7.6  8.3 99.00 99.00 99.00 999 1019.7  20.4  23.9 999.0 99.0
98 01 10 15  28  8.2  9.0 99.00 99.00 99.00 999 1020.3  21.1  24.0 999.0 99.0
98 01 10 16  26  9.4 10.0 99.00 99.00 99.00 999 1019.8  21.5  24.1 999.0 99.0
98 01 10 17  32  8.9  9.8 99.00 99.00 99.00 999 1019.1  21.7  24.2 999.0 99.0
98 01 10 18  32 10.8 12.3 99.00 99.00 99.00 999 1018.3  22.2  24.3 999.0 99.0
98 01 10 19  28  9.9 11.7 99.00 99.00 99.00 999 1017.4  22.4  24.4 999.0 99.0
98 01 10 20  29 10.1 11.3 99.00 99.00 99.00 999 1017.6  22.4  24.4 999.0 99.0
98 01 10 21  32 11.2 12.2 99.00 99.00 99.00 999 1017.4  22.2  24.3 999.0 99.0
98 01 10 22  20 11.8 13.3 99.00 99.00 99.00 999 1018.0  22.2  24.2 999.0 99.0
98 01 10 23  23 10.8 11.9 99.00 99.00 99.00 999 1018.2  22.2  23.9 999.0 99.0
98 01 11 00  21  9.7 11.1 99.00 99.00 99.00 999 1018.4  22.3  23.8 999.0 99.0
98 01 11 01  23  8.8  9.7 99.00 99.00 99.00 999 1018.7  22.1  23.8 999.0 99.0
98 01 11 02  21 10.1 11.1 99.00 99.00 99.00 999 1018.9  21.9  23.8 999.0 99.0
98 01 11 03  29  8.5  9.2 99.00 99.00 99.00 999 1018.9  22.0  23.8 999.0 99.0
98 01 11 04  20  7.5  8.5 99.00 99.00 99.00 999 1018.9  22.1  23.6 999.0 99.0
98 01 11 05  31  6.8  7.3 99.00 99.00 99.00 999 1018.7  22.1  23.6 999.0 99.0
98 01 11 06  29  6.1  6.5 99.00 99.00 99.00 999 1018.4  22.2  23.7 999.0 99.0
98 01 11 07   4  6.5  7.0 99.00 99.00 99.00 999 1018.2  21.6  23.7 999.0 99.0
98 01 11 08  34  4.6  5.0 99.00 99.00 99.00 999 1017.9  21.4  23.6 999.0 99.0
98 01 11 09  13  5.2  5.8 99.00 99.00 99.00 999 1017.6  21.0  23.5 999.0 99.0
98 01 11 10  23  5.9  6.6 99.00 99.00 99.00 999 1017.4  20.1  23.5 999.0 99.0
98 01 11 11   7  6.5  7.0 99.00 99.00 99.00 999 1017.5  20.1  23.4 999.0 99.0
98 01 11 12  14  6.9  7.6 99.00 99.00 99.00 999 1018.0  19.6  23.4 999.0 99.0
98 01 11 13  15  6.9  7.7 99.00 99.00 99.00 999 1018.7  19.1  23.4 999.0 99.0
98 01 11 14  16  7.6  8.2 99.00 99.00 99.00 999 1019.5  19.9  23.5 999.0 99.0
98 01 11 15   9  8.4  9.2 99.00 99.00 99.00 999 1020.0  20.3  23.7 999.0 99.0
98 01 11 16  29  6.4  6.8 99.00 99.00 99.00 999 1019.5  20.8  23.8 999.0 99.0
98 01 11 17  35  5.9  6.5 99.00 99.00 99.00 999 1019.3  21.6  23.9 999.0 99.0
