#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 06 10 14 00 170  5.1  5.7    MM    MM    MM  MM 1016.6  28.7  28.1  25.7   MM +1.2    MM
2017 06 10 13 00 130  4.6  5.1    MM    MM    MM  MM 1016.0  28.6  28.0  26.4   MM +1.1    MM
2017 06 10 12 00 140  3.6  4.1    MM    MM    MM  MM 1015.7  27.9  27.9  25.6   MM +1.0    MM
2017 06 10 11 00 160  2.6  3.1    MM    MM    MM  MM 1015.4  27.4  28.0  25.2   MM +0.6    MM
2017 06 10 10 00 180  2.1  2.6    MM    MM    MM  MM 1014.9  27.3  27.9  24.8   MM   MM    MM
2017 06 10 09 00 180  3.1  3.1    MM    MM    MM  MM 1014.7  27.1  27.9  24.3   MM   MM    MM
2017 06 10 08 00 190  3.6  3.6    MM    MM    MM  MM 1014.8  27.0  27.9  24.1   MM   MM    MM
2017 06 10 06 00 180  2.6   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 09 23 00 230  8.2   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 09 21 00  MM  0.0  0.0    MM    MM    MM  MM 1013.2  27.2  28.8  24.5   MM -0.6    MM
2017 06 09 20 00 280  0.5  1.0    MM    MM    MM  MM 1013.4  26.2  28.9  24.5   MM -0.7    MM
2017 06 09 19 00 250  2.1  2.6    MM    MM    MM  MM 1013.5  28.4  28.9  24.5   MM -0.8    MM
2017 06 09 18 00 200  4.6  5.1    MM    MM    MM  MM 1013.8  27.9  28.6  24.7   MM -0.3    MM
2017 06 09 17 00 230  3.6  4.1    MM    MM    MM  MM 1014.1  28.1  28.3  24.4   MM +0.0    MM
2017 06 09 16 00 220  5.7  6.2    MM    MM    MM  MM 1014.3  27.9  28.1  24.6   MM +0.9    MM
2017 06 09 15 00 240  5.7  6.2    MM    MM    MM  MM 1014.1  27.7  27.9  24.3   MM +1.5    MM
2017 06 09 14 00 220  5.1  5.7    MM    MM    MM  MM 1013.9  27.5  27.8  24.4   MM +1.8    MM
2017 06 09 13 00 240  4.1  4.6    MM    MM    MM  MM 1013.4  27.2  27.6  23.9   MM +2.2    MM
2017 06 09 12 00 260  5.1  5.7    MM    MM    MM  MM 1012.6  27.0  27.5  23.4   MM +1.9    MM
2017 06 09 11 00 250  6.7  7.2    MM    MM    MM  MM 1012.1  27.0  27.5  23.8   MM +1.6    MM
2017 06 09 10 00 260  5.7  6.2    MM    MM    MM  MM 1011.2  27.0  27.5  23.2   MM +0.5    MM
2017 06 09 09 00 240  5.7  6.7    MM    MM    MM  MM 1010.7  26.8  27.6  23.3   MM +0.0    MM
2017 06 09 08 00 240  6.7  7.2    MM    MM    MM  MM 1010.5  26.9  27.7  23.6   MM -0.6    MM
2017 06 09 07 00 230  6.2  6.7    MM    MM    MM  MM 1010.7  27.2  27.9  23.9   MM -0.9    MM
2017 06 09 06 00 220  6.2  6.7    MM    MM    MM  MM 1010.8  27.4  28.0  23.7   MM -0.8    MM
2017 06 09 05 00 220  6.2  6.7    MM    MM    MM  MM 1011.1  27.1  28.1  24.0   MM +0.0    MM
2017 06 09 04 00 210  8.2  9.8    MM    MM    MM  MM 1011.6  27.2  28.2  24.2   MM +1.1    MM
