#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 12 16 07 00  10  4.6  4.6    MM    MM    MM  MM 1021.5  21.3  25.3    MM   MM +0.0    MM
2017 12 16 06 00 360  5.1  5.1    MM    MM    MM  MM 1021.4  21.4  25.3    MM   MM -0.4    MM
2017 12 16 05 00 350  4.1  5.1    MM    MM    MM  MM 1021.5  21.6  25.3    MM   MM +0.0    MM
2017 12 16 04 00 350  4.1  4.6    MM    MM    MM  MM 1021.7  21.0  25.3    MM   MM +0.9    MM
2017 12 16 03 00 350  2.1  2.6    MM    MM    MM  MM 1021.8  22.1  25.3    MM   MM +1.8    MM
2017 12 16 02 00 340  2.6  2.6    MM    MM    MM  MM 1021.4  21.7  25.3    MM   MM +1.7    MM
2017 12 16 01 00 350  3.1  3.1    MM    MM    MM  MM 1020.8  21.4  25.3    MM   MM +1.7    MM
2017 12 16 00 00 350  2.6  3.1    MM    MM    MM  MM 1020.0  22.1  25.3    MM   MM +1.4    MM
2017 12 15 23 00 340  1.5  2.1    MM    MM    MM  MM 1019.7  22.0  25.3    MM   MM +1.3    MM
2017 12 15 22 00 340  2.1  2.6    MM    MM    MM  MM 1019.1  22.0  25.3    MM   MM +0.5    MM
2017 12 15 21 00 300  1.5  2.1    MM    MM    MM  MM 1018.6  22.6  25.3    MM   MM -0.4    MM
2017 12 15 20 00 350  1.5  1.5    MM    MM    MM  MM 1018.4  23.0  25.2    MM   MM -1.6    MM
2017 12 15 19 00 350  1.0  1.5    MM    MM    MM  MM 1018.6  22.1  25.2    MM   MM -1.9    MM
2017 12 15 18 00 360  1.0  1.0    MM    MM    MM  MM 1019.0  21.6  25.2    MM   MM -1.6    MM
2017 12 15 17 00 360  2.1  2.1    MM    MM    MM  MM 1020.0  20.6  25.2    MM   MM +0.0    MM
2017 12 15 16 00 350  3.1  3.6    MM    MM    MM  MM 1020.5  20.0  25.1    MM   MM +0.9    MM
2017 12 15 15 00  10  2.6  3.6    MM    MM    MM  MM 1020.6  19.3  25.1    MM   MM +1.5    MM
2017 12 15 14 00 360  2.6  3.1    MM    MM    MM  MM 1020.2  20.1  25.1    MM   MM +1.0    MM
2017 12 15 13 00  20  2.6  3.1    MM    MM    MM  MM 1019.6  19.2  25.2    MM   MM +1.1    MM
2017 12 15 12 00 360  3.1  3.6    MM    MM    MM  MM 1019.1  18.5  25.2    MM   MM +0.9    MM
2017 12 15 11 00 360  5.1  6.2    MM    MM    MM  MM 1019.2  18.1  25.2    MM   MM +0.8    MM
2017 12 15 10 00 360  4.1  4.6    MM    MM    MM  MM 1018.5  18.2  25.2    MM   MM -0.0    MM
2017 12 15 09 00 340  2.1  2.6    MM    MM    MM  MM 1018.2  18.4  25.2    MM   MM -0.7    MM
2017 12 15 08 00 360  3.6  3.6    MM    MM    MM  MM 1018.4  18.0  25.2    MM   MM -1.0    MM
2017 12 15 07 00  10  3.1  3.6    MM    MM    MM  MM 1018.7  18.0  25.2    MM   MM -0.8    MM
2017 12 15 06 00 360  4.1  4.6    MM    MM    MM  MM 1018.9  18.1  25.2    MM   MM -0.7    MM
2017 12 15 05 00 350  5.1  5.7    MM    MM    MM  MM 1019.4  17.9  25.2    MM   MM +0.3    MM
2017 12 15 04 00 280  4.6  6.2    MM    MM    MM  MM 1019.5  20.6  25.2    MM   MM +0.3    MM
2017 12 15 03 00 210  2.6  3.1    MM    MM    MM  MM 1019.6  20.6  25.2    MM   MM +0.8    MM
2017 12 15 02 00 190  3.6  4.6    MM    MM    MM  MM 1019.1  20.3  25.2    MM   MM +0.3    MM
2017 12 15 01 00 170  2.6  3.1    MM    MM    MM  MM 1019.2  19.8  25.2    MM   MM +1.2    MM
2017 12 15 00 00 160  3.1  3.6    MM    MM    MM  MM 1018.8  19.5  25.2    MM   MM +0.9    MM
2017 12 14 23 00 210  1.5  3.1    MM    MM    MM  MM 1018.8  19.3  25.2    MM   MM +0.6    MM
2017 12 14 22 00 160  1.0  1.5    MM    MM    MM  MM 1018.0  20.1  25.2    MM   MM -0.6    MM
2017 12 14 21 00 120  1.0  1.5    MM    MM    MM  MM 1017.9  19.9  25.2    MM   MM -1.1    MM
2017 12 14 20 00 330  0.5  1.0    MM    MM    MM  MM 1018.2  19.6  25.2    MM   MM -1.5    MM
2017 12 14 19 00 350  1.5  2.1    MM    MM    MM  MM 1018.6  18.6  25.1    MM   MM -1.6    MM
2017 12 14 18 00 360  3.6  4.1    MM    MM    MM  MM 1019.0  18.0  25.1    MM   MM -1.5    MM
2017 12 14 17 00 360  4.6  5.1    MM    MM    MM  MM 1019.7  17.3  25.0    MM   MM +0.0    MM
2017 12 14 16 00 350  5.1  6.2    MM    MM    MM  MM 1020.2  16.6  25.0    MM   MM +1.0    MM
2017 12 14 15 00 350  6.2  6.7    MM    MM    MM  MM 1020.5  16.2  24.9    MM   MM +2.0    MM
2017 12 14 14 00 360  4.6  6.2    MM    MM    MM  MM 1019.9  16.2  25.0    MM   MM +1.7    MM
2017 12 14 13 00 360  5.7  6.2    MM    MM    MM  MM 1019.2  15.5  25.0    MM   MM   MM    MM
2017 12 14 12 00 350  5.7  6.7    MM    MM    MM  MM 1018.5  15.0  25.0    MM   MM   MM    MM
2017 12 14 11 00 340  6.7  7.2    MM    MM    MM  MM 1018.2  15.4  25.0    MM   MM +0.3    MM
2017 12 14 08 00 320  4.1  5.1    MM    MM    MM  MM 1017.9  16.1  25.1    MM   MM +0.0    MM
2017 12 14 07 00 330  2.6  3.1    MM    MM    MM  MM 1017.8  16.3  25.1    MM   MM -1.7    MM
2017 12 14 06 00 340  2.1  2.6    MM    MM    MM  MM 1018.0  16.4  25.1    MM   MM -1.8    MM
2017 12 14 05 00 350  3.6  4.1    MM    MM    MM  MM 1018.1  16.5  25.1    MM   MM -1.6    MM
2017 12 14 04 00 360  4.1  4.6    MM    MM    MM  MM 1019.5  17.0  25.1    MM   MM +0.0    MM
2017 12 14 03 00 360  5.1  5.7    MM    MM    MM  MM 1019.8  16.9  25.1    MM   MM +1.0    MM
2017 12 14 02 00 350  4.6  5.1    MM    MM    MM  MM 1019.7  16.6  25.1    MM   MM   MM    MM
2017 12 14 01 00 350  5.7  6.2    MM    MM    MM  MM 1019.5  16.7  25.1    MM   MM +1.4    MM
2017 12 14 00 00 340  5.1  6.2    MM    MM    MM  MM 1018.8  17.0  25.1    MM   MM +0.8    MM
2017 12 13 23 00 330  4.1  5.1    MM    MM    MM  MM 1018.3  17.2  25.1    MM   MM +0.5    MM
2017 12 13 22 00 330  4.6  5.1    MM    MM    MM  MM 1018.1  17.8  25.1    MM   MM +0.3    MM
2017 12 13 21 00 320  5.1  5.7    MM    MM    MM  MM 1018.0  17.6  25.0    MM   MM +0.0    MM
2017 12 13 20 00 320  4.6  5.1    MM    MM    MM  MM 1017.8  17.6  25.0    MM   MM -1.4    MM
2017 12 13 19 00 340  4.6  5.7    MM    MM    MM  MM 1017.8  17.2  24.9    MM   MM   MM    MM
2017 12 13 18 00 350  5.1  6.2    MM    MM    MM  MM 1018.1  16.5  24.8    MM   MM -2.1    MM
2017 12 13 17 00 360  6.2  6.7    MM    MM    MM  MM 1019.2  15.7  24.7    MM   MM -0.5    MM
2017 12 13 16 00 360  7.7  8.8    MM    MM    MM  MM 1020.0  15.2  24.7    MM   MM +1.0    MM
2017 12 13 15 00 360 10.3 11.3    MM    MM    MM  MM 1020.2  14.7  24.7    MM   MM +2.1    MM
2017 12 13 14 00 360 12.4 13.4    MM    MM    MM  MM 1019.7  14.3  24.8    MM   MM +2.5    MM
2017 12 13 13 00  10 10.8 12.4    MM    MM    MM  MM 1019.0  14.7  24.9    MM   MM +2.6    MM
2017 12 13 12 00  10 11.8 12.9    MM    MM    MM  MM 1018.1  14.8  24.9    MM   MM +2.4    MM
