#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 07 18 00 112  7.5  8.1 99.00 99.00 99.00 999 1020.3  25.2  25.6 999.0 99.0 99.00
2007 01 07 19 00 118  7.8  8.5 99.00 99.00 99.00 999 1019.8  25.1  25.6 999.0 99.0 99.00
2007 01 07 20 00 120  7.3  7.7 99.00 99.00 99.00 999 1019.3  25.1  25.7 999.0 99.0 99.00
2007 01 07 21 00 118  6.2  6.8 99.00 99.00 99.00 999 1019.4  25.1  25.7 999.0 99.0 99.00
2007 01 07 22 00 114  6.5  7.6 99.00 99.00 99.00 999 1019.5  25.2  25.7 999.0 99.0 99.00
2007 01 07 23 00 115  5.8  6.3 99.00 99.00 99.00 999 1019.6  25.3  25.6 999.0 99.0 99.00
2007 01 08 00 00 107  5.8  6.3 99.00 99.00 99.00 999 1019.9  25.2  25.6 999.0 99.0 99.00
2007 01 08 01 00 115  5.3  5.7 99.00 99.00 99.00 999 1020.0  25.2  25.6 999.0 99.0 99.00
2007 01 08 02 00 121  5.8  6.4 99.00 99.00 99.00 999 1019.9  25.3  25.6 999.0 99.0 99.00
2007 01 08 03 00 138  6.3  7.2 99.00 99.00 99.00 999 1019.9  25.4  25.6 999.0 99.0 99.00
2007 01 08 04 00 142  7.8  8.3 99.00 99.00 99.00 999 1019.7  25.5  25.6 999.0 99.0 99.00
2007 01 08 05 00 154  7.3  7.6 99.00 99.00 99.00 999 1019.3  25.3  25.6 999.0 99.0 99.00
2007 01 08 06 00 150  8.0  8.6 99.00 99.00 99.00 999 1019.1  25.4  25.5 999.0 99.0 99.00
2007 01 08 07 00 143  8.3  9.1 99.00 99.00 99.00 999 1018.9  25.2  25.6 999.0 99.0 99.00
2007 01 08 08 00 146  8.2  9.1 99.00 99.00 99.00 999 1018.7  25.2  25.5 999.0 99.0 99.00
2007 01 08 09 00 141  8.8  9.2 99.00 99.00 99.00 999 1018.5  25.1  25.5 999.0 99.0 99.00
2007 01 08 10 00 144  7.6  7.9 99.00 99.00 99.00 999 1018.6  25.0  25.4 999.0 99.0 99.00
2007 01 08 11 00 153  6.6  7.5 99.00 99.00 99.00 999 1019.0  25.0  25.4 999.0 99.0 99.00
2007 01 08 12 00 151  6.6  7.1 99.00 99.00 99.00 999 1019.3  25.0  25.3 999.0 99.0 99.00
2007 01 08 13 00 153  6.8  7.1 99.00 99.00 99.00 999 1020.0  25.3  25.3 999.0 99.0 99.00
2007 01 08 14 00 159  5.9  6.2 99.00 99.00 99.00 999 1020.7  25.9  25.5 999.0 99.0 99.00
2007 01 08 15 00 159  7.4  7.9 99.00 99.00 99.00 999 1020.8  26.1  25.6 999.0 99.0 99.00
2007 01 08 16 00 193  6.2  7.4 99.00 99.00 99.00 999 1020.5  25.9  25.6 999.0 99.0 99.00
2007 01 08 17 00 179  6.9  7.4 99.00 99.00 99.00 999 1019.4  26.1  25.6 999.0 99.0 99.00
2007 01 08 18 00 174  8.8  9.6 99.00 99.00 99.00 999 1018.2  25.8  25.7 999.0 99.0 99.00
2007 01 08 19 00 185  8.0  8.6 99.00 99.00 99.00 999 1017.5  25.6  25.7 999.0 99.0 99.00
2007 01 08 20 00 188  8.1  8.4 99.00 99.00 99.00 999 1017.0  25.7  25.8 999.0 99.0 99.00
2007 01 08 21 00 197  7.8  8.4 99.00 99.00 99.00 999 1017.3  25.5  25.8 999.0 99.0 99.00
2007 01 08 22 00 191  7.8  8.3 99.00 99.00 99.00 999 1017.8  25.3  25.8 999.0 99.0 99.00
2007 01 08 23 00 197  7.7  8.0 99.00 99.00 99.00 999 1017.9  25.2  25.7 999.0 99.0 99.00
2007 01 09 00 00 211  7.8  8.2 99.00 99.00 99.00 999 1018.7  25.0  25.7 999.0 99.0 99.00
2007 01 09 01 00 225  5.9  6.5 99.00 99.00 99.00 999 1019.2  24.7  25.7 999.0 99.0 99.00
2007 01 09 02 00 245  6.8  7.4 99.00 99.00 99.00 999 1019.5  24.7  25.6 999.0 99.0 99.00
2007 01 09 03 00 273  5.3  6.0 99.00 99.00 99.00 999 1019.8  24.0  25.6 999.0 99.0 99.00
2007 01 09 04 00 274  5.5  5.8 99.00 99.00 99.00 999 1019.6  23.7  25.6 999.0 99.0 99.00
2007 01 09 05 00 281  6.7  7.2 99.00 99.00 99.00 999 1019.3  23.5  25.6 999.0 99.0 99.00
2007 01 09 06 00 299  6.7  7.2 99.00 99.00 99.00 999 1019.1  23.3  25.5 999.0 99.0 99.00
2007 01 09 07 00 328  6.9  7.2 99.00 99.00 99.00 999 1018.9  23.0  25.5 999.0 99.0 99.00
2007 01 09 08 00 332  6.9  7.4 99.00 99.00 99.00 999 1018.5  22.5  25.5 999.0 99.0 99.00
2007 01 09 09 00 338  9.6 10.1 99.00 99.00 99.00 999 1018.5  21.0  25.4 999.0 99.0 99.00
2007 01 09 10 00 344  7.7  8.6 99.00 99.00 99.00 999 1018.9  20.4  25.3 999.0 99.0 99.00
2007 01 09 11 00 338  8.1  9.0 99.00 99.00 99.00 999 1019.4  19.7  25.3 999.0 99.0 99.00
2007 01 09 12 00 336  9.0  9.9 99.00 99.00 99.00 999 1020.1  19.4  25.2 999.0 99.0 99.00
2007 01 09 13 00 339  7.6  8.2 99.00 99.00 99.00 999 1020.7  19.5  25.2 999.0 99.0 99.00
2007 01 09 14 00 337  7.8  9.1 99.00 99.00 99.00 999 1021.5  18.9  25.2 999.0 99.0 99.00
2007 01 09 15 00 341  7.6  8.6 99.00 99.00 99.00 999 1022.1  18.6  25.2 999.0 99.0 99.00
2007 01 09 16 00 345  7.4  8.2 99.00 99.00 99.00 999 1021.9  18.9  25.3 999.0 99.0 99.00
2007 01 09 17 00 348  7.8  9.1 99.00 99.00 99.00 999 1020.9  20.4  25.4 999.0 99.0 99.00
2007 01 09 18 00   0  8.6  9.9 99.00 99.00 99.00 999 1020.1  21.2  25.4 999.0 99.0 99.00
2007 01 09 19 00   2  9.5 10.2 99.00 99.00 99.00 999 1019.8  21.8  25.4 999.0 99.0 99.00
2007 01 09 20 00   3  9.4 11.4 99.00 99.00 99.00 999 1019.8  22.0  25.2 999.0 99.0 99.00
2007 01 09 21 00  12  8.6 10.1 99.00 99.00 99.00 999 1020.1  21.8  25.2 999.0 99.0 99.00
2007 01 09 22 00  11  9.8 11.4 99.00 99.00 99.00 999 1020.4  21.7  25.1 999.0 99.0 99.00
2007 01 09 23 00   6  7.9  9.1 99.00 99.00 99.00 999 1020.7  21.2  25.0 999.0 99.0 99.00
2007 01 10 00 00  24  4.2  5.5 99.00 99.00 99.00 999 1020.8  21.2  25.0 999.0 99.0 99.00
2007 01 10 01 00   1  6.4  7.3 99.00 99.00 99.00 999 1021.2  21.2  25.0 999.0 99.0 99.00
2007 01 10 02 00 331  7.6  7.9 99.00 99.00 99.00 999 1021.9  20.4  24.9 999.0 99.0 99.00
2007 01 10 03 00 338 10.6 11.5 99.00 99.00 99.00 999 1022.6  19.0  24.8 999.0 99.0 99.00
2007 01 10 04 00 341  9.8 11.0 99.00 99.00 99.00 999 1022.4  18.7  25.1 999.0 99.0 99.00
2007 01 10 05 00 338 10.7 11.7 99.00 99.00 99.00 999 1022.3  17.9  25.1 999.0 99.0 99.00
2007 01 10 06 00 337 10.9 11.7 99.00 99.00 99.00 999 1022.1  17.6  25.0 999.0 99.0 99.00
